SITE_NO,SITE_NAME,BUSINESS_NO,BUSINESS_NAME,YEAR,WEEK_NO,WEEK_BEGINNING,WEEKLY_AVERAGE_AF,REASON_FOR_NO_COUNT,SG_ACTION,MITIGATION,ADDITIONAL_MITIGATION,ADDITIONAL_INFORMATION
FS0299,Dunstaffnage,FB0125,Scottish Sea Farms Ltd,2022,43,2022-10-24,,Veterinary advice,,,,
FS0252,Cairidh,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,,Site recently stocked,,,,
FS0249,Ardnish,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0057,Corry Farm,FB0447,Wester Ross Fisheries Ltd,2022,43,2022-10-24,,Site recently stocked,,,,
FS0056,Ardmair,FB0447,Wester Ross Fisheries Ltd,2022,43,2022-10-24,0.14,,,,,
FS0054,Lyrawa Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,43,2022-10-24,0.25,,,,,
FS0031,Pegal Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,43,2022-10-24,0.2,,,,,
FS0016,Loch Alsh (Sron),FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,5.41,,,Harvesting,,
FS0015,Loch Greshornish,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0234,Torridon,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0.47,,,,,
FS0212,Invasion Bay,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0209,Scallastle,FB0125,Scottish Sea Farms Ltd,2022,43,2022-10-24,,Withdrawal period prior to harvesting,,,,
FS0183,South Sound,FB0125,Scottish Sea Farms Ltd,2022,43,2022-10-24,0,,,,,
FS0091,Meall Mhor Loch Fyne,FB0169,Bakkafrost Scotland,2022,43,2022-10-24,0.41,,,,,
FS0090,Ormsary Broodstock Unit,FB0061,Landcatch Natural Selection Ltd,2022,43,2022-10-24,0,,,,,
FS0088,Cloudin,FB0095,Cooke Aquaculture Scotland Ltd,2022,43,2022-10-24,0.01,,,,,
FS0065,Loch Laxford,FB0398,Loch Duart Ltd,2022,43,2022-10-24,0.04,,,,,
FS0594,Aird,FB0169,Bakkafrost Scotland,2022,43,2022-10-24,0.51,,,,,
FS0590,Glenan Bay,FB0169,Bakkafrost Scotland,2022,43,2022-10-24,0.29,,,,,
FS0567,Furnace,FB0169,Bakkafrost Scotland,2022,43,2022-10-24,0.28,,,,,
FS0559,Ardyne,FB0169,Bakkafrost Scotland,2022,43,2022-10-24,0.21,,,,,
FS0663,Kerrera B,FB0125,Scottish Sea Farms Ltd,2022,43,2022-10-24,0,,,,,
FS0656,Djubawick,FB0095,Cooke Aquaculture Scotland Ltd,2022,43,2022-10-24,1.8,,,,,
FS0646,Soay,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0645,Kirk Noust,FB0095,Cooke Aquaculture Scotland Ltd,2022,43,2022-10-24,,Site recently stocked,,,,
FS0637,Stead of Aithness,FB0095,Cooke Aquaculture Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0629,Poll Na Gille,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0621,Loch A Chairn Bhain,FB0398,Loch Duart Ltd,2022,43,2022-10-24,0.54,,,,,
FS0616,Nevis B,FB0125,Scottish Sea Farms Ltd,2022,43,2022-10-24,,Withdrawal period prior to harvesting,,,,
FS0605,Creag an T'Sagairt (Loch Hourn),FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0.43,,,,,
FS0599,MacLean's Nose,FB0119,Mowi Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0666,Burrastow,FB0095,Cooke Aquaculture Scotland Ltd,2022,43,2022-10-24,0,,,,,
FS0597,Meil Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.38,,,,,
FS1340,Mill Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.21,,,,,
FS1290,Shuna SW (Rubh'an Trilleachain),FB0134,Kames Fish Farming Ltd,2022,42,2022-10-17,0,,,,,
FS1338,Scalpay,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.09,,,,,
FS1288,Etive 6,FB0456,Dawnfresh Farming Ltd,2022,42,2022-10-17,0.52,,,,,
FS1337,Hunda,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS1286,Muck,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS1335,"Swarta Skerry, Dury Voe",FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,3.58,,,,,Physical delousing to begin wk 43.
FS1282,Greanamul,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.01,,,,,
FS1280,Loch Carnan,FB0398,Loch Duart Ltd,2022,42,2022-10-17,0.02,,,,,
FS1331,Lober Rock (SMH),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.96,,,,,
FS1330,Sconser Quarry,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS1317,Rum,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.21,,,,,
FS1277,Reibinish,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.4,,,,,
FS1315,Maaey,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.1,,,,,
FS1275,Flaeshins,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,1,,,,,
FS1312,Skelwick Skerry,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS1274,Kishorn West,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS1267,Gometra,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0,,,,,
FS1262,Sgeir Dughall,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.38,,,,,
FS1354,Shuna Point,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.08,,,,,
FS1305,Westerbister,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS1304,Maragay Mor,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0,,,,,
FS1349,Bay of Holland,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.27,,,,,
FS1297,Tabhaigh,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS1344,Invertote Salmon Farm,FB0579,Organic Sea Harvest Ltd,2022,42,2022-10-17,0.06,,,,,
FS1343,Culnacnoc Salmon Farm,FB0579,Organic Sea Harvest Ltd,2022,42,2022-10-17,0,,,,,
FS1294,Wyre,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Veterinary advice,,,,
FS1342,West Strome,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0,,,,,
FS1341,An Camus,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,1.95,,,,,
FS0865,Marulaig Bay,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,2.28,,,,,Bath (salmosan) treatment being arranged.
FS1198,South Cava,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.5,,,,,
FS0749,Holms Geo,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.78,,,,,
FS0860,Shapinsay,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS1176,Eilean Grianain,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.72,,,,,
FS1019,Strondoir Bay,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.21,,,,,
FS1122,Grey Horse Channel,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,1.19,,,,,
FS0710,Sandwick,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS0853,Lochmaddy,FB0398,Loch Duart Ltd,2022,42,2022-10-17,1.63,,,,,
FS0851,Ardgaddan,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.12,,,,,
FS1121,"Bight of Bellister, Dury Voe",FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,3.19,,,,,FW bath treatment to begin wk 43.
FS0709,Kishorn A (South),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.02,,,,,
FS1017,Fara West,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS0850,Lippie Geo,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.14,,,,,
FS0698,Quarry Point,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.3,,,,,
FS1010,East Tarbert Bay,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0,,,,,
FS0839,Geasgill,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0,,,,,
FS0823,Noust Geo,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.18,,,,,
FS1112,Etive 4,FB0456,Dawnfresh Farming Ltd,2022,42,2022-10-17,0.66,,,,,
FS0993,Chalmers Hope,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.33,,,,,
FS0818,Ardcastle,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.3,,,,,
FS0694,Fishnish (B),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS0813,Puldrite,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Veterinary advice,,,,
FS1101,Etive 3 (Port na Mine),FB0456,Dawnfresh Farming Ltd,2022,42,2022-10-17,0.14,,,,,
FS1099,Gletness,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS1093,Teisti Geo,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.28,,,,,
FS0683,Gob a Bharra,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.33,,,,,
FS0960,East of Holm Heogland (Burkwell),FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,1.37,,,,,
FS0948,Score Holms,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Veterinary advice,,,,
FS0805,Bagh Dail Nan Cean,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS1083,Groatay,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,1.9,,,,,
FS0675,Ardessie B,FB0447,Wester Ross Fisheries Ltd,2022,42,2022-10-17,0,,,,,
FS0946,North Voe,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.64,,,,,
FS0804,Kishorn B (North),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS0767,Tarbert South,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.24,,,,,
FS0933,Clashnessie Bay,FB0398,Loch Duart Ltd,2022,42,2022-10-17,0.01,,,,,
FS1261,Hellisay,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Site fallow,,,,
FS1260,Sound of Harris,FB0398,Loch Duart Ltd,2022,42,2022-10-17,0,,,,,
FS1080,Bay of Cleat (North),FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.23,,,,,
FS0914,Lismore West,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.01,,,,,
FS1259,Stulaigh,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Weather,,,,
FS1076,Setterness North (Bomlo),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS1043,Ness of Copister,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.2,,,,,
FS1256,Plocrapol,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.37,,,,,
FS1067,Inverawe (East) Etive 2,FB0456,Dawnfresh Farming Ltd,2022,42,2022-10-17,0.4,,,,,
FS1062,Ardifuir,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,1.75,,,,,
FS0894,Rubha Stillaig,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.18,,,,,
FS1057,Vee Taing,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.07,,,,,
FS1027,Linga (Setterness),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS1210,Vestness,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.18,,,,,
FS1053,Hogan,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS1024,Toyness,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS0871,Winna Ness,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.1,,,,,
FS1209,Ouseness,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.25,,,,,
FS0764,Olna South,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS0430,Nevis A,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS0423,Lamlash,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0,,,,,
FS0413,Camas Glas,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS0408,Poseidon,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS0517,Ardessie A,FB0447,Wester Ross Fisheries Ltd,2022,42,2022-10-17,0,,,,,
FS0515,North Papa,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.1,,,,,
FS0502,Scotasay,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.14,,,,,
FS0489,Cole Deep,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS0477,Bow of Hascosay,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,2.3,,,Harvesting,,
FS0472,Wick of Belmont,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.5,,,,,
FS0451,Turness,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,,Broodstock population visually inspected,,,,
FS0531,Ornish Island,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0519,Maol Ban,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0433,Langa Isle (East),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.06,,,,,
FS0248,Loch Duich,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.53,,,,,
FS0244,Loch Leven (1),FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.74,,,,,
FS0242,Gravir,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.05,,,,,
FS0241,Kingairloch,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0390,Carness Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.73,,,,,
FS0382,Uyea Isle,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,1.45,,,,,
FS0361,Sian Bay,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.07,,,,,
FS0356,North Moine,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.57,,,,,
FS0336,Druimyeon Bay,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0,,,,,
FS0316,Setter Voe,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0.34,,,,,
FS0299,Dunstaffnage,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Veterinary advice,,,,
FS0249,Ardnish,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0057,Corry Farm,FB0447,Wester Ross Fisheries Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS0056,Ardmair,FB0447,Wester Ross Fisheries Ltd,2022,42,2022-10-17,0.2,,,,,
FS0054,Lyrawa Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.2,,,,,
FS0031,Pegal Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0.2,,,,,
FS0016,Loch Alsh (Sron),FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,3.35,,,Harvesting,,
FS0015,Loch Greshornish,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS0234,Torridon,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.14,,,,,
FS0212,Invasion Bay,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0209,Scallastle,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS0183,South Sound,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS0091,Meall Mhor Loch Fyne,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.42,,,,,
FS0090,Ormsary Broodstock Unit,FB0061,Landcatch Natural Selection Ltd,2022,42,2022-10-17,0.13,,,,,
FS0088,Cloudin,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0240,Linnhe,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Site fallow,,,,
FS0237,Gorsten,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Site fallow,,,,
FS0065,Loch Laxford,FB0398,Loch Duart Ltd,2022,42,2022-10-17,0.01,,,,,
FS0594,Aird,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.29,,,,,
FS0590,Glenan Bay,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.29,,,,,
FS0567,Furnace,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.38,,,,,
FS0559,Ardyne,FB0169,Bakkafrost Scotland,2022,42,2022-10-17,0.06,,,,,
FS0546,Nevis C (Ardintigh),FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Site fallow,,,,
FS0663,Kerrera B,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,0,,,,,
FS0656,Djubawick,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,1.6,,,,,
FS0646,Soay,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0645,Kirk Noust,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS0637,Stead of Aithness,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0629,Poll Na Gille,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0621,Loch A Chairn Bhain,FB0398,Loch Duart Ltd,2022,42,2022-10-17,1.8,,,,,
FS0616,Nevis B,FB0125,Scottish Sea Farms Ltd,2022,42,2022-10-17,,Withdrawal period prior to harvesting,,,,
FS0605,Creag an T'Sagairt (Loch Hourn),FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,0.48,,,,,
FS0599,MacLean's Nose,FB0119,Mowi Scotland Ltd,2022,42,2022-10-17,,Site recently stocked,,,,
FS0666,Burrastow,FB0095,Cooke Aquaculture Scotland Ltd,2022,42,2022-10-17,0,,,,,
FS0597,Meil Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,0.01,,,,,
FS1340,Mill Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,,Weather,,,,
FS1290,Shuna SW (Rubh'an Trilleachain),FB0134,Kames Fish Farming Ltd,2022,41,2022-10-10,0,,,,,
FS1338,Scalpay,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0.11,,,,,
FS1288,Etive 6,FB0456,Dawnfresh Farming Ltd,2022,41,2022-10-10,0.6,,,,,
FS1337,Hunda,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.02,,,,,
FS1286,Muck,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,,Site recently stocked,,,,
FS1335,"Swarta Skerry, Dury Voe",FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,,Veterinary advice,,,,
FS1282,Greanamul,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.09,,,,,
FS1280,Loch Carnan,FB0398,Loch Duart Ltd,2022,41,2022-10-10,0.44,,,,,
FS1331,Lober Rock (SMH),FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.85,,,,,
FS1330,Sconser Quarry,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0,,,,,
FS1317,Rum,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,,Site recently stocked,,,,
FS1277,Reibinish,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,2.13,,,,,FW treatments planned for wk 43.
FS1315,Maaey,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.03,,,,,
FS1275,Flaeshins,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,0.74,,,,,
FS1312,Skelwick Skerry,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,,Withdrawal period prior to harvesting,,,,
FS1274,Kishorn West,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0,,,,,
FS1267,Gometra,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0,,,,,
FS1262,Sgeir Dughall,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.21,,,,,
FS1354,Shuna Point,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.08,,,,,
FS1305,Westerbister,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.01,,,,,
FS1304,Maragay Mor,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0,,,,,
FS1349,Bay of Holland,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,,Weather,,,,
FS1297,Tabhaigh,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0,,,,,
FS1344,Invertote Salmon Farm,FB0579,Organic Sea Harvest Ltd,2022,41,2022-10-10,0.11,,,,,
FS1343,Culnacnoc Salmon Farm,FB0579,Organic Sea Harvest Ltd,2022,41,2022-10-10,0,,,,,
FS1294,Wyre,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.79,,,,,
FS1342,West Strome,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0,,,,,
FS1341,An Camus,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0.98,,,,,
FS0865,Marulaig Bay,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0.7,,,,,
FS1198,South Cava,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,0.38,,,,,
FS0749,Holms Geo,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.73,,,,,
FS1020,Bay of Vady,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,,Site fallow,,,,
FS0860,Shapinsay,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,,Veterinary advice,,,,
FS1176,Eilean Grianain,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0.65,,,,,
FS1019,Strondoir Bay,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.18,,,,,
FS0858,Fada,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,,Site fallow,,,,
FS1122,Grey Horse Channel,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0.62,,,,,
FS0710,Sandwick,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,,Withdrawal period prior to harvesting,,,,
FS0853,Lochmaddy,FB0398,Loch Duart Ltd,2022,41,2022-10-10,0.65,,,,,
FS0851,Ardgaddan,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.15,,,,,
FS1121,"Bight of Bellister, Dury Voe",FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,2.18,,,,,FW treatments scheduled.
FS0709,Kishorn A (South),FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0,,,,,
FS0850,Lippie Geo,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.09,,,,,
FS0698,Quarry Point,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.29,,,,,
FS1010,East Tarbert Bay,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0,,,,,
FS0839,Geasgill,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0,,,,,
FS0823,Noust Geo,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.21,,,,,
FS1112,Etive 4,FB0456,Dawnfresh Farming Ltd,2022,41,2022-10-10,9.1,,,Harvesting,Bath,
FS0694,Fishnish (B),FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,,Withdrawal period prior to harvesting,,,,
FS0813,Puldrite,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,,Withdrawal period prior to harvesting,,,,
FS1101,Etive 3 (Port na Mine),FB0456,Dawnfresh Farming Ltd,2022,41,2022-10-10,0.64,,,,,
FS1099,Gletness,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0,,,,,
FS1093,Teisti Geo,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.39,,,,,
FS0683,Gob a Bharra,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.52,,,,,
FS0960,East of Holm Heogland (Burkwell),FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,1.3,,,,,
FS0948,Score Holms,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.07,,,,,
FS0805,Bagh Dail Nan Cean,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,0,,,,,
FS0804,Kishorn B (North),FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,,Veterinary advice,,,,
FS1083,Groatay,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,,Withdrawal period prior to harvesting,,,,
FS0675,Ardessie B,FB0447,Wester Ross Fisheries Ltd,2022,41,2022-10-10,0,,,,,
FS0946,North Voe,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.3,,,,,
FS0767,Tarbert South,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.23,,,,,
FS0671,Outer Bay (Loch Droighniche),FB0398,Loch Duart Ltd,2022,41,2022-10-10,,Site fallow,,,,
FS0933,Clashnessie Bay,FB0398,Loch Duart Ltd,2022,41,2022-10-10,0,,,,,
FS1261,Hellisay,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,,Weather,,,,
FS1260,Sound of Harris,FB0398,Loch Duart Ltd,2022,41,2022-10-10,0.02,,,,,
FS1080,Bay of Cleat (North),FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,0.29,,,,,
FS1043,Ness of Copister,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,0.49,,,,,
FS0914,Lismore West,FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,0.02,,,,,
FS1259,Stulaigh,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,,Weather,,,,
FS1076,Setterness North (Bomlo),FB0125,Scottish Sea Farms Ltd,2022,41,2022-10-10,,Withdrawal period prior to harvesting,,,,
FS1256,Plocrapol,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.33,,,,,
FS1067,Inverawe (East) Etive 2,FB0456,Dawnfresh Farming Ltd,2022,41,2022-10-10,0.7,,,,,
FS1062,Ardifuir,FB0119,Mowi Scotland Ltd,2022,41,2022-10-10,1.69,,,,,
FS0894,Rubha Stillaig,FB0169,Bakkafrost Scotland,2022,41,2022-10-10,0.26,,,,,
FS1057,Vee Taing,FB0095,Cooke Aquaculture Scotland Ltd,2022,41,2022-10-10,,Veterinary advice,,,,
